Date,XHB
2021-08-31,75.42365264892578
2021-09-30,69.38313293457031
2021-10-31,75.01034545898438
2021-11-30,77.65960693359375
2021-12-31,83.07217407226562
2022-01-31,72.09014129638672
2022-02-28,67.83872985839844
2022-03-31,61.33894348144531
2022-04-30,59.48518371582031
2022-05-31,60.572200775146484
2022-06-30,53.239501953125
2022-07-31,62.27980422973633
2022-08-31,58.1829719543457
2022-09-30,53.35761260986328
2022-10-31,56.91869354248047
2022-11-30,60.76271057128906
2022-12-31,59.03734588623047
2023-01-31,67.97320556640625
2023-02-28,66.08423614501953
2023-03-31,66.50453186035156
2023-04-30,69.60597229003906
2023-05-31,67.61358642578125
2023-06-30,78.99710845947266
2023-07-31,83.13880157470703
2023-08-31,81.7221450805664
2023-09-30,75.50945281982422
2023-10-31,70.62801361083984
