Price,Close,High,Low,Open,Volume
Ticker,^DJT,^DJT,^DJT,^DJT,^DJT
Date,,,,,
2012-01-26,5302.85009765625,5359.0,5284.2900390625,5284.2900390625,20060000
2012-01-27,5344.77978515625,5358.509765625,5291.0400390625,5309.43994140625,15610000
2012-01-30,5321.97021484375,5343.419921875,5283.47021484375,5343.419921875,15600000
2012-01-31,5319.14013671875,5349.52001953125,5260.97998046875,5322.18994140625,21320000
2012-02-01,5343.10009765625,5374.7099609375,5293.16015625,5293.490234375,15380000
2012-02-02,5305.66015625,5357.52978515625,5287.66015625,5343.14990234375,11560000
2012-02-03,5368.93017578125,5384.14990234375,5306.06982421875,5306.06982421875,15420000
2012-02-06,5334.25,5367.35009765625,5321.7001953125,5367.35009765625,12590000
2012-02-07,5323.330078125,5339.7998046875,5278.919921875,5332.75,11170000
2012-02-08,5298.60986328125,5325.6201171875,5272.08984375,5323.330078125,11040000
2012-02-09,5309.08984375,5328.9599609375,5271.22021484375,5299.10009765625,10840000
2012-02-10,5254.14013671875,5304.68017578125,5214.97021484375,5304.68017578125,9690000
2012-02-13,5322.18994140625,5322.2900390625,5255.1201171875,5255.1201171875,10460000
2012-02-14,5284.1201171875,5321.7001953125,5255.58984375,5321.7001953125,10130000
2012-02-15,5178.14990234375,5300.39990234375,5156.06982421875,5283.990234375,13200000
2012-02-16,5263.10009765625,5267.8701171875,5174.830078125,5174.830078125,12000000
2012-02-17,5239.52001953125,5308.97998046875,5217.08984375,5263.10009765625,16120000
2012-02-21,5163.18017578125,5240.93994140625,5139.490234375,5239.52001953125,20600000
2012-02-22,5125.169921875,5181.3701171875,5119.1298828125,5163.60986328125,11750000
2012-02-23,5161.64990234375,5163.7001953125,5089.990234375,5125.27978515625,14110000
2012-02-24,5139.14013671875,5203.7998046875,5133.27978515625,5162.9599609375,11350000
2012-02-27,5171.080078125,5202.85009765625,5100.77001953125,5133.31005859375,13420000
2012-02-28,5165.18994140625,5188.5,5142.080078125,5170.72021484375,14310000
2012-02-29,5153.16015625,5190.2998046875,5134.259765625,5161.5498046875,18880000
2012-03-01,5211.47998046875,5243.1201171875,5153.490234375,5153.490234375,13730000
2012-03-02,5160.1298828125,5214.52978515625,5147.5498046875,5208.3798828125,11210000
2012-03-05,5125.740234375,5159.14990234375,5099.93017578125,5159.10009765625,12440000
2012-03-06,5047.25,5123.56005859375,5029.41015625,5123.56005859375,13350000
2012-03-07,5073.66015625,5085.580078125,5042.72998046875,5047.9501953125,10050000
2012-03-08,5145.93994140625,5160.81005859375,5070.14013671875,5073.3798828125,14160000
2012-03-09,5161.93017578125,5188.5,5116.56982421875,5147.009765625,12680000
2012-03-12,5144.27978515625,5167.97021484375,5120.5400390625,5161.93017578125,12860000
2012-03-13,5254.5,5255.259765625,5144.4501953125,5144.4501953125,14970000
2012-03-14,5180.39013671875,5254.27978515625,5165.0,5253.41015625,13800000
2012-03-15,5349.740234375,5375.009765625,5180.22021484375,5180.22021484375,25640000
2012-03-16,5351.31982421875,5378.93017578125,5325.31982421875,5350.8798828125,32240000
2012-03-19,5360.0400390625,5390.10986328125,5337.56982421875,5350.97998046875,12630000
2012-03-20,5288.47998046875,5358.009765625,5268.75,5358.009765625,13050000
2012-03-21,5331.81005859375,5346.0400390625,5265.83984375,5287.85986328125,13520000
2012-03-22,5220.81005859375,5328.81982421875,5197.5498046875,5328.81982421875,15320000
2012-03-23,5217.81982421875,5231.7099609375,5167.4599609375,5221.77001953125,12340000
2012-03-26,5289.02001953125,5289.1298828125,5221.72021484375,5221.72021484375,17160000
2012-03-27,5276.31005859375,5297.02978515625,5263.77978515625,5288.85009765625,12210000
2012-03-28,5258.1298828125,5289.97998046875,5216.18017578125,5276.81982421875,18360000
2012-03-29,5256.2099609375,5262.85009765625,5164.43994140625,5256.5,22530000
2012-03-30,5253.16015625,5283.14013671875,5243.85009765625,5258.1298828125,18180000
2012-04-02,5305.5,5334.1298828125,5235.66015625,5253.27978515625,13400000
2012-04-03,5294.830078125,5315.68994140625,5249.830078125,5306.240234375,15320000
